Bild;Neu/Bisher;Vorname;Rufname;Nachname;Wahlkreis;Listenplatz;Berufsbezeichnung;Quote;Jahrgang;Pronomen
;1;Isabel;;Bartal;Zürich 7+8;1;Unternehmerin, Hochschuldozentin;Die beste Wahl für soziale Gerechtigkeit, bezahlbare Wohnungen und faire Löhne.;1964;
;0;Jean-Daniel;;Strub;Zürich 7+8;2;;;;
;0;Eva-Maria;;Würth;Zürich 7+8;3;Innovationsethiker, Geschäftsführer;Für einen Kanton Zürich, der entschlossen vorwärtsmacht: beim Klimaschutz, bei der sozialen Sicherheit, bei der Chancengerechtigkeit in der Bildung!;1975;
;0;Leo;;Bauer;Zürich 7+8;4;Sekundarschullehrer;Für einen zukunftsgerichteten Kanton: Bildung für alle, effektiver Klimaschutz, sichere Velorouten.;1996;
;0;Nadina;;Diday;Zürich 7+8;5;;;;
;0;Urs;;Helfenstein;Zürich 7+8;6;Japanologe;Für kantonale Lösungen mit einer austarierten Mischung aus Wirtschaft, Umwelt- und Sozialpolitik. Für alle statt für wenige.;1975;
;1;Sylvie;;Matter;Zürich 6+10;1;Mittelschullehrerin;Für eine Schule, in der die Fähigkeiten der Kinder entscheidend sind, nicht die soziale Herkunft.;1981;sie / ihr
;1;Nicola;;Siegrist;Zürich 6+10;2;Angehender Geograph, Präsident JUSO Schweiz;Für eine konsequente und sozial gerechte Bekämpfung der Klimakrise! Wir ergreifen Partei für deine Zukunft.;1996;er / ihm
;0;Roman;;Rossfeld;Zürich 6+10;3;Historiker;Für einen konsequenten Klimaschutz und ein vielfältiges und solidarisches Zürich!;1967;er / ihm
;0;Renata;;Grünenfelder;Zürich 6+10;4;Pflegefachfrau Notfallpflege;Als Expertin Notfallpflege will ich eine starke Pflege und eine gesunde Umwelt für die Bevölkerung. Dafür setze ich mich ein.;1967;sie / ihr
;0;Lynn;;Honegger;Zürich 6+10;5;Rechtsanwältin Asylwesen;Für eine gleichberechtigte Familienpolitik und Solidarität mit allen Menschen im Kanton Zürich.;1991;sie / ihr
;0;Kevin;;Vettiger;Zürich 6+10;6;Informatik Analyst & Designer;Für ein sozialgerechtes und zukunftsfähiges Zürich, das sich alle leisten können.;1992;er / ihm
;0;Barbara;;Dietrich;Zürich 6+10;7;Biologin;Bildung für alle für eine vielversprechende Zukunft! Ein würdiges Leben für alle Menschen in Zürich.;1969;sie/ihr
;0;Michel;;Makhlouf;Zürich 6+10;8;Mathematiker;Lösungen finden, ohne Menschen auf der Strecke zu lassen - Egal ob Wohnungsnot, Klimakrise oder Prämienlast.;1994;er/ihm
;1;Tobias;;Langenegger;Zürich 4+5;1;Ökonom, Co-Fraktionspräsident;Für einen solidarischen Kanton Zürich, der sich am Wohl der Schwächsten misst.;1985;
;1;Nicola;;Yuste;Zürich 4+5;2;Politologin, Projektleiterin;Für ein Zürich, in dem alle Stimmen gehört werden - weil politische Teilhabe kein Privileg, sondern das Fundament unserer Demokratie ist.;1988;
;0;Luisa;;Schwegler;Zürich 4+5;3;Juristin;Für ein Zürich, welches allen ein würdevolles Zuhause bietet und Menschen statt Profite fördert. Heute und in Zukunft.;1992;
;0;Maria Rosa;;Joller;Zürich 4+5;4;Pflegefachfrau und Gesundheitsökonomin;Für eine starke Pflege.;1994;
;0;Dimitri;;Witzig;Zürich 4+5;5;Jurist in Migrationsrecht und Sozialhilferecht;Für ein offenes und gerechtes Zürich: integrative Bildung, soziale Klimapolitik und faire Löhne.;1990;
;0;Dominique;;Späth;Zürich 3+9;5;Mittelschullehrerin, Historikerin;Lieber Späth als nie.;1987;
;0;Mandy;;Abou Shoak;Zürich 3+9;7;Co-Geschäftsführung Gewaltprävention, Sozialarbeiterin;Für Gleichheit durch Solidarität. Für Sicherheit durch Frieden. Für Freiheit durch den Abbau von Barrieren.;1989;
;0;Rahel;;Habegger;Zürich 3+9;11;Juristin;Bezahlbarer Wohnraum und soziale Gerechtigkeit für alle.;1991;
;1;Sibylle;;Marti;Zürich 3+9;1;Historikerin;Der bürgerliche Kanton verhindert fortschrittliche Projekte in der Stadt Zürich. Um das zu ändern, braucht es mehr SP im Kantonsrat.;1980;
;0;Jakob;;Ehrensperger;Zürich 3+9;12;Executive Public Affairs;Mit durchdachten Lösungen mutig und neugierig in die Zukunft. Für ein bedürfnisreiches, nachhaltig modernes Zürich.;1993;
;0;Simon;;Bock;Zürich 3+9;6;Projektleiter kantonale Gesundheitsplanung;Für eine gute und finanzierbare Gesundheitsversorgung für alle braucht es eine gezielte Förderung der Haus- und Kinderärzt*innen.;1988;
;0;Myrta;;Grubenmann;Zürich 3+9;9;;;1995;
;0;Gregory;;Germann;Zürich 3+9;10;Public Affairs Klimapolitik bei swisscleantech;Für einen Kanton Zürich, der den Klimawandel als die grösste Krise unserer Zeit anerkennt - und auch so handelt.;1994;
;1;Pia;;Ackermann;Zürich 3+9;3;Physiotherapeutin;Für einen solidarischen Kanton Zürich, in dem alle guten Zugang zur Gesundheitsversorgung haben.;1988;
;0;Thomas;;Reiss;Zürich 3+9;8;Politologe;39% des CO2 im Kanton Zürich werden vom Verkehr verursacht. Für eine sozial gerechte Verkehrswende, die ihren Namen verdient!;1992;
;0;Matyas;;Sagi Kiss;Zürich 3+9;4;;;1983;
;0;Alan;;Sangines;Zürich 3+9;2;Kindesverfahrensvertreter, Beistand;Für eine starke städtische Stimme im Kantonsrat im Einsatz für einen sozialen, lebenswerten und fortschrittlichen Kanton für alle.;1986;
;1;Monika          ;;Wicki;Zürich 11+12;1;Professorin;Bildung für alle und der Schutz des Klimas sind die besten Investitionen für die Zukunft.;1967;
;1;Birgit       ;;Tognella-Geertsen;Zürich 11+12;2;Dipl. Betriebswitschafterin HF;Für ein gutes, offenes und vorurteilsloses Zusammenleben im Kanton Zürich.;1967;Sie/ihr
;1;Felix        ;;Hoesch;Zürich 11+12;3;Verkehrsplaner, Informatiker;Für lebenswerte Plätze und Strassen - darum weniger privaten Autoverkehr.;1970;Er/ihm
;0;Chiara;;Bono;Zürich 11+12;4;;;1996;
;0;Karin;;Saxer;Zürich 11+12;5;Heilpädagogin, Schulleiterin;Für eine starke Bildung, für ein gutes Gesundheitswesen, für faire Arbeitsbedingungen und genug bezahlbare Wohnungen.;1972;Sie/ihr
;0;Oliver;;Frei;Zürich 11+12;6;Verkehrsplaner;Mit bezahlbaren Wohnungen, einem attraktiven öV- und Velonetz sowie mehr Naturschutz einen lebenswerten und klimafreundlichen Kanton Zürich schaffen!;1988;
;0;Christian;;Iten;Zürich 11+12;7;Kommunikationsberater;Für soziale Sicherheit. Damit alle in der Gesellschaft ihren Platz haben. Vor allem in Zeiten steigender Preise und wirtschaftlicher Unsicherheiten.;1977;
;0;Mariem;;Fiadjigbe Kekić;Zürich 11+12;8;Senior Project Manager;Mein Zürich spricht alle Sprachen!;1981;
;0;Niklaus;;Heiri;Zürich 11+12;9;Web-Entwickler;Für ein Zürich, wo wir alle gleich viel wert sind - unabhängig vom Bankkonto!;1990;
;0;Alexander Robert;;Herren;Zürich 11+12;10;Doktorand Altertumswissenschaft;Grenzenlos, solidarisch, feministisch handeln!;1994;
;0;Monika;;Suter;Zürich 11+12;11;Freischaffende Künstlerin;Ich will ein solidarisches Zürich, in dem alle gleichberechtigt sind und der Zugang zu Kunst, Kultur und Bildung für alle möglich ist.;1971;
;0;Eric;;Franklin;Zürich 11+12;12;Lehrer, Radiomacher;;1986;
;1;Andrew;;Katumba;Zürich 1+2;1;Unternehmer;Mitenand für Züri. Für einen starken Kanton Zürich, den alle mitgestalten.;1971;
;0;Marion;;Schmid;Zürich 1+2;2;Betriebsökonomin,Geschäftsführerin;Für ein verlässliches Gesundheitswesen und eine starke Pflege. Für Gleichstellung und Chanchengerechtigkeit. Für konsequenten Klimaschutz.;1980;sie
;0;Lara;;Can;Zürich 1+2;3;Angehende Ökonomin;;1997;
;0;Felix;;Stocker;Zürich 1+2;4;Mathematiker, Pianist;Für einen sozialen Kanton Zürich! Für mehr Fairness in Wirtschaft und Gesellschaft!;1984;
;0;Christina;;Horisberger;Zürich 1+2;5;Fachjournalistin, Dozentin;;1966;
;1;Andreas;;Daurù;Winterthur Stadt;1;Pflegefachmann HF, Projektleiter;Für einen Service Public, der diese Bezeichnung verdient!;1979;
;0;Lea;;Jacot;Winterthur Stadt;8;;;;
;0;Michael;;Stampfli;Winterthur Stadt;5;;;;
;0;Brankica;;Kupresak Walden;Winterthur Stadt;6;;;;
;0;Alfred;;Ngoyi Wa Mwanza;Winterthur Stadt;11;;;;
;0;Priska;;Lötscher;Winterthur Stadt;3;Juristin;Für einen ökologischen, solidarischen und fortschrittlichen Kanton Zürich, in dem gross und klein Platz hat.;1990;
;0;Elif;;Akyol;Winterthur Stadt;9;;Ich trete für einen Kanton ein, in welchem alle Menschen unabhängig ihrer Herkunft, Religion, oder ihres Handicaps Platz haben.;1996;
;0;Lena;;Schwarz;Winterthur Stadt;12;;;;
;0;Valeria;;Muster;Winterthur Stadt;4;Blasinstrumentenreperateurin;Eine junge Stimme für eine lebenswerte Zukunft für alle Generationen: chancengleich und klimagerecht!;2001;
;0;Melissa;;Gianni;Winterthur Stadt;10;Public Relations Spezialistin;Für ein ein vielfältiges und bezahlbares Zürich.;1990;
;1;Roland;;Kappeler;Winterthur Stadt;2;Ökonom, Dr. oec., dipl. Handelslehrer;Guter Service public, faire Löhne und bezahlbares Wohnen für alle! In Winterthur, im Kanton Zürich, überall.;1958;
;0;Luca;;Tschan;Winterthur Stadt;7;Mitarbeiter Finanzen;Für einen ökologischen, sozialen und modernen Kanton, in dem alle gleichberechtigt leben können.;1991;
;0;Jan;;Schellenberger;Winterthur Stadt;13;Kinderarzt;Für eine gesunde Entwicklung unserer Gesellschaft. Für eine echte Unterstützung von Kindern und Jugendlichen.;1968;
;1;Theres;;Agosti Monn;Winterthur Land;1;Schulleiterin, Beraterin;Für eine kluge Verdichtung, den Schutz intakter Landschaften und die Förderung der Biodiversität.;1961;
;0;Monika;;Di Benedetto;Winterthur Land;3;Marketingfachfrau, Doula Geburtsbegleiterin;Jeden Tag sind Frauen von Gewalt und Übergriffen betroffen. Auch unter der Geburt. Dass sich das ändert, dafür setze ich mich ein.;1976;
;0;Felix;;Caduff;Winterthur Land;6;lic. phil. I;Das Gebot der Stunde heisst Abkehr von der Wachstumsideologie und Wandel der Wirtschaft in Richtung Nachhaltigkeit. Für Klima, Umwelt und Soziales.;1953;
;0;Patricia;;Heuberger;Winterthur Land;7;Geografin;Für einen Kanton Zürich, in dem auch die ländlichen Regionen ernst genommen werden.;1979;
;0;Stephanie;;Hugentobler;Winterthur Land;2;;;;
;0;Hüseyin;;At;Winterthur Land;4;;;1980;
;0;Manuela;;Kindlimann;Winterthur Land;5;;;1987;
;0;Patricia;;Bernet;Uster;4;;;;
;1;Leandra;;Columberg;Uster;2;Studentin Rechtswissenschaften, Geschäftsführerin DJZ;Für eine konsequente, solidarische Politik, Chancengleichheit in der Bildung und gesellschaftliche Teilhabe für alle.;1999;
;1;Stefan;;Feldmann;Uster;1;;;;
